epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1882.03,1.64593,0.68098,0.00404,0.93612,0.86205,0.90523,0.56562,1.10183,0.47204,0.00311,3.33289e-05,3.33289e-05,0.0667044
2,3717.36,1.4488,0.57598,0.00352,0.96117,0.87355,0.92615,0.58911,1.04205,0.45683,0.00276,5.01633e-05,5.01633e-05,0.0333879
3,5486.98,1.32056,0.51657,0.00315,0.96925,0.86891,0.93034,0.5976,1.03857,0.42344,0.00274,2.57489e-05,2.57489e-05,3.01933e-05
