epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,19468.6,1.29954,0.42101,0.00373,0.91426,0.94982,0.9282,0.5351,1.44621,0.56031,0.00375,0.000420143,0.000420143,0.000420143
43,19930.2,1.29457,0.41695,0.00373,0.91311,0.94751,0.9264,0.53362,1.44638,0.56198,0.00375,0.000406,0.000406,0.000406
44,20396.5,1.28597,0.41302,0.00369,0.91138,0.94795,0.9259,0.5329,1.44376,0.56191,0.00375,0.000391857,0.000391857,0.000391857
45,20859.6,1.28233,0.40865,0.00367,0.91264,0.94609,0.92519,0.532,1.44002,0.56149,0.00375,0.000377714,0.000377714,0.000377714
46,21324.2,1.27507,0.40845,0.00366,0.91241,0.94628,0.92376,0.53116,1.44103,0.56324,0.00374,0.000363571,0.000363571,0.000363571
47,21789.3,1.26727,0.40335,0.00364,0.91162,0.94662,0.92079,0.53048,1.43801,0.56323,0.00375,0.000349429,0.000349429,0.000349429
48,22252.9,1.26128,0.40248,0.00359,0.91443,0.94593,0.92231,0.53128,1.44098,0.56233,0.00378,0.000335286,0.000335286,0.000335286
49,22717,1.25801,0.40109,0.00361,0.91375,0.94387,0.91892,0.52892,1.44092,0.56171,0.00381,0.000321143,0.000321143,0.000321143
50,23182.4,1.2525,0.39787,0.00355,0.91444,0.94501,0.9201,0.52857,1.44027,0.55975,0.00381,0.000307,0.000307,0.000307
51,23637.4,1.19605,0.34555,0.00355,0.91532,0.9427,0.92027,0.52785,1.44199,0.55874,0.00381,0.000292857,0.000292857,0.000292857
52,24093.3,1.18672,0.34113,0.0035,0.91572,0.94316,0.91983,0.52641,1.44292,0.55759,0.00381,0.000278714,0.000278714,0.000278714
53,24549.5,1.17778,0.33525,0.00348,0.91547,0.94602,0.91963,0.52648,1.4426,0.55481,0.0038,0.000264571,0.000264571,0.000264571
54,25007.3,1.17532,0.33468,0.00345,0.9179,0.94353,0.92023,0.52653,1.44246,0.55081,0.00379,0.000250429,0.000250429,0.000250429
55,25464.7,1.17,0.33358,0.00343,0.92147,0.94083,0.92061,0.52656,1.44192,0.54744,0.00378,0.000236286,0.000236286,0.000236286
56,25921.3,1.16205,0.3308,0.0034,0.92142,0.94324,0.92169,0.52602,1.43879,0.54345,0.00377,0.000222143,0.000222143,0.000222143
57,26378.2,1.15672,0.32853,0.00339,0.92162,0.94244,0.92171,0.52558,1.43973,0.54461,0.00377,0.000208,0.000208,0.000208
58,26834.8,1.15125,0.32805,0.00337,0.91941,0.94687,0.92264,0.52532,1.43755,0.54407,0.00376,0.000193857,0.000193857,0.000193857
59,27293.2,1.14463,0.32393,0.00334,0.92019,0.9462,0.92227,0.52537,1.43798,0.54402,0.00377,0.000179714,0.000179714,0.000179714
60,27750.8,1.14226,0.3235,0.00332,0.92146,0.94446,0.92245,0.52493,1.43977,0.54167,0.00377,0.000165571,0.000165571,0.000165571
61,28208,1.13458,0.32043,0.00329,0.92096,0.94405,0.92279,0.52492,1.44172,0.5426,0.00378,0.000151429,0.000151429,0.000151429
62,28669.7,1.12795,0.31922,0.00326,0.91998,0.94407,0.92,0.52363,1.44199,0.54509,0.00379,0.000137286,0.000137286,0.000137286
63,29133,1.12265,0.31713,0.00324,0.91801,0.94338,0.91871,0.5226,1.44809,0.54603,0.0038,0.000123143,0.000123143,0.000123143
64,29596.6,1.12027,0.31544,0.00324,0.91774,0.94231,0.91763,0.52218,1.44837,0.54437,0.0038,0.000109,0.000109,0.000109
65,30060,1.11596,0.31458,0.00321,0.92019,0.94083,0.91745,0.52168,1.44756,0.54658,0.00381,9.48571e-05,9.48571e-05,9.48571e-05
66,30523,1.10847,0.31236,0.00319,0.91949,0.93962,0.91813,0.52178,1.44944,0.54874,0.00382,8.07143e-05,8.07143e-05,8.07143e-05
67,30987.6,1.10802,0.31163,0.00317,0.92023,0.94096,0.91816,0.52178,1.45262,0.54855,0.00382,6.65714e-05,6.65714e-05,6.65714e-05
68,31452.5,1.10232,0.31129,0.00317,0.92058,0.94089,0.91814,0.52185,1.45188,0.54848,0.00383,5.24286e-05,5.24286e-05,5.24286e-05
69,31934.9,1.09694,0.30773,0.00315,0.92078,0.94195,0.91922,0.52248,1.45251,0.54423,0.00383,3.82857e-05,3.82857e-05,3.82857e-05
70,32392.9,1.09491,0.30717,0.00312,0.92148,0.94043,0.91911,0.52275,1.45226,0.54463,0.00383,2.41429e-05,2.41429e-05,2.41429e-05
