epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3304.59,1.46919,0.86918,0.00363,0.79647,0.70823,0.68174,0.31975,1.45137,1.58367,0.0039,6.66599e-06,6.66599e-06,0.0666767
2,6328.15,1.35537,0.72232,0.00322,0.87261,0.76289,0.78742,0.37168,1.52558,0.7551,0.00409,1.20722e-05,1.20722e-05,0.0333488
3,9510.51,1.11395,0.55688,0.00271,0.89618,0.76334,0.81802,0.40721,1.4332,0.69173,0.00379,1.31588e-05,1.31588e-05,1.65248e-05
4,12593.8,1.0944,0.53172,0.00267,0.88334,0.76798,0.81165,0.41019,1.42886,0.68006,0.00379,7.04073e-06,7.04073e-06,7.04073e-06
5,15714.6,1.08678,0.53845,0.00267,0.88728,0.76566,0.81037,0.40698,1.43567,0.68762,0.00381,2.09073e-06,2.09073e-06,2.09073e-06
