epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1114.25,1.80343,0.94976,0.00384,0.00577,0.59431,0.00502,0.00255,1.67176,442.082,0.00387,3.33031e-06,3.33031e-06,0.0667002
2,2390.2,1.6792,0.80547,0.00353,0.86131,0.7153,0.7989,0.44147,1.57596,0.96294,0.00356,6.62304e-06,6.62304e-06,0.0333701
3,3841.16,1.59998,0.75383,0.00325,0.84022,0.73132,0.80231,0.44001,1.57693,0.9645,0.00347,9.75478e-06,9.75478e-06,3.9948e-05
4,5819.17,1.56432,0.72811,0.00321,0.84144,0.73654,0.80301,0.44244,1.56997,0.96833,0.00345,9.46048e-06,9.46048e-06,9.46048e-06
5,7472.15,1.5596,0.71904,0.00319,0.84329,0.72772,0.8045,0.44469,1.57531,0.96268,0.00346,9.05463e-06,9.05463e-06,9.05463e-06
6,9513.18,1.55097,0.73983,0.00321,0.83989,0.73739,0.80638,0.44735,1.56651,0.95985,0.00345,8.55018e-06,8.55018e-06,8.55018e-06
7,10624.5,1.53911,0.72353,0.00315,0.83926,0.73665,0.80774,0.44939,1.56464,0.9536,0.00343,7.95954e-06,7.95954e-06,7.95954e-06
8,11897.3,1.55644,0.7267,0.00309,0.84256,0.74276,0.8076,0.44674,1.5651,0.95556,0.00343,7.29725e-06,7.29725e-06,7.29725e-06
9,13014.6,1.56529,0.72882,0.00326,0.83919,0.73356,0.80736,0.44974,1.56347,0.9499,0.00344,6.57963e-06,6.57963e-06,6.57963e-06
10,14273.2,1.54432,0.72808,0.00313,0.82618,0.74377,0.80592,0.44657,1.56319,0.95722,0.00343,5.82435e-06,5.82435e-06,5.82435e-06
11,15519.2,1.55678,0.72642,0.00313,0.83058,0.74148,0.8079,0.44959,1.5607,0.94535,0.00341,5.05e-06,5.05e-06,5.05e-06
12,16778.5,1.55634,0.7262,0.00317,0.83448,0.74457,0.80775,0.44829,1.56413,0.94719,0.00343,4.27565e-06,4.27565e-06,4.27565e-06
13,1250.67,1.53953,0.71348,0.00316,0.83441,0.73488,0.80887,0.45265,1.56042,0.94448,0.00343,3.52037e-06,3.52037e-06,3.52037e-06
14,2952.61,1.54091,0.70599,0.00313,0.83641,0.73665,0.80769,0.44935,1.55727,0.94713,0.00341,2.80275e-06,2.80275e-06,2.80275e-06
15,4683.46,1.54387,0.70876,0.00312,0.83185,0.74911,0.80908,0.44836,1.56119,0.94105,0.00342,2.14046e-06,2.14046e-06,2.14046e-06
16,5999.77,1.55374,0.71109,0.00318,0.82749,0.74733,0.81134,0.44942,1.56075,0.94512,0.00341,1.54982e-06,1.54982e-06,1.54982e-06
