epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,606.517,1.6905,0.81294,0.00351,0.00657,0.5516,0.00523,0.00283,1.76839,378.171,0.0038,3.32729e-06,3.32729e-06,0.0667304
2,1203.8,1.56759,0.72795,0.00314,0.76071,0.60526,0.61218,0.34829,1.6675,1.87268,0.00347,6.62004e-06,6.62004e-06,0.0334003
3,1796.74,1.48022,0.67024,0.00288,0.87149,0.66548,0.74966,0.43021,1.69633,1.14678,0.00348,9.75184e-06,9.75184e-06,7.01383e-05
4,2390.66,1.45304,0.65646,0.00281,0.87072,0.66904,0.7498,0.43258,1.6873,1.13709,0.00346,9.46048e-06,9.46048e-06,9.46048e-06
5,3045.84,1.45518,0.65986,0.00283,0.88652,0.66721,0.74983,0.43319,1.68484,1.13608,0.00345,9.05463e-06,9.05463e-06,9.05463e-06
6,3643.71,1.44514,0.65539,0.00282,0.88735,0.66548,0.7538,0.4337,1.68236,1.12083,0.00345,8.55018e-06,8.55018e-06,8.55018e-06
7,4229.83,1.43841,0.63991,0.00275,0.88571,0.66726,0.75458,0.43306,1.67975,1.13942,0.00342,7.95954e-06,7.95954e-06,7.95954e-06
8,4824.99,1.45523,0.65164,0.00279,0.90548,0.66014,0.75903,0.43368,1.68293,1.11679,0.00344,7.29725e-06,7.29725e-06,7.29725e-06
9,5409.74,1.45272,0.64836,0.00282,0.88563,0.66904,0.75698,0.43332,1.6828,1.12511,0.00343,6.57963e-06,6.57963e-06,6.57963e-06
10,612.935,1.44113,0.64277,0.00279,0.89708,0.66689,0.76152,0.43574,1.68039,1.10712,0.00343,5.82435e-06,5.82435e-06,5.82435e-06
11,1322.36,1.43138,0.64448,0.00275,0.89751,0.6637,0.75416,0.43362,1.67984,1.11628,0.00342,5.05e-06,5.05e-06,5.05e-06
12,2055.59,1.4301,0.64002,0.00274,0.88831,0.66726,0.76129,0.43648,1.67888,1.10219,0.00343,4.27565e-06,4.27565e-06,4.27565e-06
13,2784.45,1.44317,0.64618,0.00279,0.87594,0.67794,0.75791,0.43535,1.67566,1.10157,0.00342,3.52037e-06,3.52037e-06,3.52037e-06
14,3508.66,1.44849,0.64825,0.00282,0.8905,0.66548,0.75634,0.43529,1.67523,1.11034,0.00343,2.80275e-06,2.80275e-06,2.80275e-06
15,4185,1.4383,0.6484,0.0028,0.88343,0.67438,0.76197,0.4366,1.67752,1.09722,0.00343,2.14046e-06,2.14046e-06,2.14046e-06
16,4906.38,1.43305,0.63437,0.00274,0.89895,0.6648,0.75949,0.43565,1.67683,1.11888,0.00341,1.54982e-06,1.54982e-06,1.54982e-06
17,5731.27,1.45133,0.64587,0.00278,0.88694,0.67082,0.76121,0.43487,1.68366,1.10306,0.00343,1.04537e-06,1.04537e-06,1.04537e-06
18,6472.93,1.44822,0.644,0.00281,0.89635,0.67082,0.76109,0.43555,1.68241,1.1104,0.00343,6.39518e-07,6.39518e-07,6.39518e-07
