epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2223.27,1.63101,0.61466,0.00395,0.97225,0.88331,0.92654,0.58585,1.06357,0.37904,0.00272,3.33287e-05,3.33287e-05,0.0667046
2,4090.56,1.44983,0.52657,0.00334,0.96948,0.89076,0.92728,0.59563,1.02511,0.40257,0.0026,6.33943e-05,6.33943e-05,0.0334013
3,6105.51,1.32012,0.47923,0.00299,0.96214,0.89694,0.93521,0.60954,1.01579,0.38196,0.0026,8.1359e-05,8.1359e-05,8.59554e-05
4,8145.67,1.27323,0.46075,0.00288,0.95474,0.89748,0.93369,0.61631,1.00484,0.37063,0.00252,6.15148e-05,6.15148e-05,6.15148e-05
5,10114.5,1.2622,0.45493,0.00284,0.96002,0.89916,0.93531,0.61387,1.0157,0.3649,0.00254,3.94852e-05,3.94852e-05,3.94852e-05
6,12004.5,1.26078,0.45268,0.00286,0.96387,0.89678,0.93459,0.61582,1.00495,0.36975,0.00253,1.96373e-05,1.96373e-05,1.96373e-05
7,14177.1,1.25606,0.44953,0.00283,0.95531,0.89807,0.93511,0.61499,1.00787,0.36505,0.00253,5.90204e-06,5.90204e-06,5.90204e-06
