dataset,mode,n,sa32_P,sa32_R,sa32_F1,lean13_P,lean13_R,lean13_F1,dF1,verdict
antiuav,argmax,300,0.4418212478920742,0.9597069597069597,0.605080831408776,0.4375,0.9487179487179487,0.5988439306358381,-0.0062369007729379256,sa32 wins
svanstrom,argmax,300,0.48056537102473496,0.9251700680272109,0.6325581395348837,0.4856115107913669,0.9183673469387755,0.6352941176470588,0.002735978112175075,tie
rgb_test,softveto,300,0.9187817258883249,0.7510373443983402,0.8264840182648402,0.9387755102040817,0.5726141078838174,0.711340206185567,-0.11514381207927316,sa32 wins
ir_test,argmax,300,0.506578947368421,0.8603351955307262,0.6376811594202899,0.4901315789473684,0.8324022346368715,0.6169772256728778,-0.020703933747412084,sa32 wins
drone_video,softveto,349,0.6967213114754098,0.8252427184466019,0.7555555555555555,0.7353846153846154,0.7734627831715211,0.7539432176656151,-0.0016123378899404184,tie
rgb_test@argmax,argmax,300,0.7370892018779343,0.6514522821576764,0.6916299559471365,0.7264957264957265,0.35269709543568467,0.47486033519553084,-0.21676962075160566,sa32 wins
drone_video@argmax,argmax,349,0.41852487135506006,0.7896440129449838,0.547085201793722,0.4869791666666667,0.6051779935275081,0.5396825396825397,-0.007402662111182345,sa32 wins
