epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,501.91,1.48167,0.45014,0.00468,0.90057,0.89322,0.94134,0.53399,1.31838,0.6145,0.00337,1.65741e-05,1.65741e-05,0.0668684
2,828.565,1.39621,0.41966,0.00432,0.91173,0.92875,0.94901,0.5463,1.2602,0.66933,0.00308,3.21021e-05,3.21021e-05,0.0335506
3,1164.03,1.29238,0.38846,0.00398,0.91801,0.93721,0.94988,0.54276,1.24928,0.69872,0.00301,4.33295e-05,4.33295e-05,0.000228515
4,1479.55,1.27371,0.38099,0.00378,0.91871,0.94056,0.95043,0.54616,1.24118,0.7024,0.00299,3.61104e-05,3.61104e-05,3.61104e-05
5,1794.41,1.27242,0.38042,0.00381,0.91896,0.93976,0.95014,0.54812,1.24311,0.69515,0.00298,2.75e-05,2.75e-05,2.75e-05
6,2109.99,1.27883,0.3835,0.00385,0.91817,0.9394,0.95045,0.54835,1.2456,0.69758,0.00299,1.88896e-05,1.88896e-05,1.88896e-05
7,2507.29,1.26941,0.3787,0.00379,0.91801,0.93895,0.95044,0.54842,1.2448,0.70509,0.00299,1.15901e-05,1.15901e-05,1.15901e-05
8,2822.4,1.28024,0.38055,0.00385,0.91673,0.9415,0.94988,0.54891,1.24321,0.69372,0.00299,6.71271e-06,6.71271e-06,6.71271e-06
