epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2616,1.84616,0.90029,0.00454,0.93017,0.78354,0.8555,0.47248,1.29279,0.60068,0.00359,3.33289e-05,3.33289e-05,0.0667044
2,4875.79,1.66321,0.73541,0.00406,0.93431,0.83662,0.89427,0.51026,1.20287,0.52887,0.00324,5.01633e-05,5.01633e-05,0.0333879
3,6825.26,1.5255,0.65261,0.0036,0.94136,0.85378,0.89953,0.53044,1.16458,0.48081,0.00309,2.57489e-05,2.57489e-05,3.01933e-05
