epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1726.07,1.41736,0.57962,0.00347,0.9549,0.88418,0.93251,0.56099,1.51172,0.53246,0.00378,3.33243e-05,3.33243e-05,0.066709
2,2772.34,1.24496,0.48199,0.00293,0.98211,0.89158,0.9451,0.58253,1.42282,0.51137,0.00347,5.01599e-05,5.01599e-05,0.0333925
3,3837,1.10533,0.42733,0.00253,0.97646,0.90487,0.9486,0.60174,1.34492,0.4782,0.00325,2.57477e-05,2.57477e-05,3.47518e-05
