classifier,clip,category,detector,total_frames,rgb_tp,rgb_fp,rgb_fn,rgb_p,rgb_r,rgb_f1,ir_tp,ir_fp,ir_fn,ir_p,ir_r,ir_f1,clf_tp,clf_fp,clf_fn,clf_p,clf_r,clf_f1,seg_temp_segs,seg_temp_tp,seg_temp_fp,seg_temp_fn,seg_temp_p,seg_temp_r,seg_temp_f1,seg_final_segs,seg_final_tp,seg_final_fp,seg_final_fn,seg_final_p,seg_final_r,seg_final_f1,alert_events,vetoed_alerts
control40,helicopter_overhead_very_small_airplane_in_background,helicopters,baseline_trained,20,0,17,0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0,7,0,0.0,0.0,0.0,7,0,4,0,0.0,0.0,0.0,7,0,3,0,0.0,0.0,0.0,0,2
control40,helicopter_overhead_very_small_airplane_in_background,helicopters,retrained_v2,20,0,15,0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0,4,0,0.0,0.0,0.0,7,0,2,0,0.0,0.0,0.0,7,0,2,0,0.0,0.0,0.0,1,0
control40,helicopter_overhead_very_small_airplane_in_background,helicopters,selcom_1280,20,0,20,0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,7,0,1,0,0.0,0.0,0.0,7,0,1,0,0.0,0.0,0.0,1,0
control40,helicopter_overhead_very_small_airplane_in_background,helicopters,selcom_640,20,0,13,0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,7,0,0,0,0.0,0.0,0.0,0,0
fnfn,airplanes_compilation,airplanes,baseline_trained,249,0,104,0,0.0,0.0,0.0,0,51,0,0.0,0.0,0.0,0,2,0,0.0,0.0,0.0,83,0,0,0,0.0,0.0,0.0,83,0,0,0,0.0,0.0,0.0,0,0
fnfn,airplanes_compilation,airplanes,retrained_v2,249,0,99,0,0.0,0.0,0.0,0,51,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,83,0,0,0,0.0,0.0,0.0,83,0,0,0,0.0,0.0,0.0,0,0
fnfn,airplanes_compilation,airplanes,selcom_1280,249,0,129,0,0.0,0.0,0.0,0,51,0,0.0,0.0,0.0,0,1,0,0.0,0.0,0.0,83,0,0,0,0.0,0.0,0.0,83,0,0,0,0.0,0.0,0.0,0,0
fnfn,airplanes_compilation,airplanes,selcom_640,249,0,89,0,0.0,0.0,0.0,0,51,0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,83,0,0,0,0.0,0.0,0.0,83,0,0,0,0.0,0.0,0.0,0,0
fnfn,distant_airplane_over_head_flying_away,airplanes,baseline_trained,55,0,33,0,0.0,0.0,0.0,0,18,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19,0,0,0,0.0,0.0,0.0,19,0,0,0,0.0,0.0,0.0,0,0
fnfn,distant_airplane_over_head_flying_away,airplanes,retrained_v2,55,0,18,0,0.0,0.0,0.0,0,18,0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,19,0,0,0,0.0,0.0,0.0,19,0,0,0,0.0,0.0,0.0,0,0
