source,dataset,detector,stage,size_bucket,TP,FP,FN,n_gt,n_frames,precision,recall,f1,classifier
antiuav_per_model,antiuav,selcom_960,S0_detector,large,253,2,0,,,0.9922,1.0000,0.9961,
selcom_val_holdout,selcom_val,baseline,S0_detector,small,12,5,154,,,0.7059,0.0723,0.1311,
selcom_val_holdout,selcom_val,baseline,S0_detector,medium,14,32,111,,,0.3043,0.1120,0.1637,
selcom_val_holdout,selcom_val,baseline,S0_detector,large,0,0,4,,,0.0000,0.0000,0.0000,
selcom_val_holdout,selcom_val,hardneg_v3more,S0_detector,small,4,3,162,,,0.5714,0.0241,0.0462,
selcom_val_holdout,selcom_val,hardneg_v3more,S0_detector,medium,0,0,125,,,0.0000,0.0000,0.0000,
selcom_val_holdout,selcom_val,hardneg_v3more,S0_detector,large,0,0,4,,,0.0000,0.0000,0.0000,
selcom_val_holdout,selcom_val,retrained_v2,S0_detector,small,0,1,166,,,0.0000,0.0000,0.0000,
selcom_val_holdout,selcom_val,retrained_v2,S0_detector,medium,1,2,124,,,0.3333,0.0080,0.0156,
selcom_val_holdout,selcom_val,retrained_v2,S0_detector,large,0,0,4,,,0.0000,0.0000,0.0000,
selcom_val_holdout,selcom_val,selcom_1280,S0_detector,small,69,22,97,,,0.7582,0.4157,0.5370,
selcom_val_holdout,selcom_val,selcom_1280,S0_detector,medium,69,21,56,,,0.7667,0.5520,0.6419,
selcom_val_holdout,selcom_val,selcom_1280,S0_detector,large,0,0,4,,,0.0000,0.0000,0.0000,
selcom_val_holdout,selcom_val,selcom_640,S0_detector,small,9,0,157,,,1.0000,0.0542,0.1029,
selcom_val_holdout,selcom_val,selcom_640,S0_detector,medium,25,5,100,,,0.8333,0.2000,0.3226,
selcom_val_holdout,selcom_val,selcom_640,S0_detector,large,1,0,3,,,1.0000,0.2500,0.4000,
selcom_val_holdout,selcom_val,selcom_960,S0_detector,small,50,6,116,,,0.8929,0.3012,0.4505,
selcom_val_holdout,selcom_val,selcom_960,S0_detector,medium,76,11,49,,,0.8736,0.6080,0.7170,
