context,n,pos,neg,auroc_verifier,v_lo,v_hi,auroc_conf,c_lo,c_hi,lift,spearman_v_conf
RGB (mlp_v5),2927,2195,732,0.9487122994386149,0.9385025244741348,0.957349362973762,0.8420354257689482,0.8271355692206244,0.857280559759771,0.10667687366966672,0.6379689421392858
thermal-IR (aligned),2678,2581,97,0.8131128748147646,0.7644212012462176,0.8647345490320161,0.779490887013345,0.7265562365913512,0.8330943804186896,0.03362198780141956,0.1406900908036551
gray-IR (aligned_gray),562,230,332,0.6178889470927187,0.5711948892586045,0.6637835623343452,0.5348611838658983,0.4869593233993615,0.5808873996329261,0.08302776322682037,0.11480272906021327
