epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,726.214,1.83082,0.88596,0.0039,0.33381,0.34237,0.30845,0.14786,2.31031,6.12754,0.00461,3.33031e-06,3.33031e-06,0.0667002
2,1479.6,1.67804,0.80194,0.00336,0.53635,0.34508,0.38105,0.1762,2.38243,2.19971,0.00471,6.50221e-06,6.50221e-06,0.03337
3,2219.82,1.55942,0.72946,0.00306,0.56952,0.39016,0.40102,0.18486,2.345,2.03887,0.00463,9.0519e-06,9.0519e-06,3.92451e-05
4,2981.8,1.5383,0.72351,0.00292,0.52188,0.39661,0.39451,0.18764,2.35271,2.04098,0.00462,7.95954e-06,7.95954e-06,7.95954e-06
5,3726.74,1.5322,0.72839,0.00294,0.53076,0.38644,0.40313,0.19191,2.34176,2.06176,0.00461,6.57963e-06,6.57963e-06,6.57963e-06
6,4463.14,1.52024,0.71185,0.00291,0.54572,0.39093,0.40767,0.19114,2.34919,2.04031,0.00463,5.05e-06,5.05e-06,5.05e-06
7,5206.36,1.52337,0.70563,0.00291,0.5321,0.38644,0.39008,0.1847,2.36597,2.06292,0.00465,3.52037e-06,3.52037e-06,3.52037e-06
8,5941.07,1.52421,0.71017,0.00292,0.54499,0.39661,0.39559,0.18697,2.36008,2.02499,0.00465,2.14046e-06,2.14046e-06,2.14046e-06
