epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2596.83,1.3952,0.69981,0.00333,0.9193,0.7935,0.84605,0.4438,1.37484,0.57983,0.00377,1.6665e-05,1.6665e-05,0.0666867
2,4827.51,1.28539,0.61656,0.00295,0.85931,0.81671,0.82079,0.44662,1.29871,0.65136,0.00341,2.84992e-05,2.84992e-05,0.0333652
3,7063.33,1.03532,0.45008,0.00245,0.9056,0.84584,0.86172,0.4781,1.26316,0.61069,0.00335,2.52492e-05,2.52492e-05,2.86151e-05
4,9406.18,1.02127,0.446,0.00244,0.90918,0.83991,0.86731,0.48094,1.26363,0.59816,0.00332,7.74911e-06,7.74911e-06,7.74911e-06
