epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,616.984,1.49529,0.45478,0.00485,0.91218,0.91265,0.94046,0.53407,1.29796,0.6685,0.00305,1.6601e-05,1.6601e-05,0.0668145
2,1079.89,1.43162,0.43337,0.00445,0.91873,0.92875,0.9441,0.54011,1.28493,0.5923,0.00309,3.12621e-05,3.12621e-05,0.0334958
3,1532.74,1.35288,0.39354,0.00419,0.92053,0.93258,0.94642,0.54511,1.26553,0.6337,0.00298,3.86991e-05,3.86991e-05,0.000169933
4,1983.73,1.30601,0.38104,0.00395,0.92092,0.936,0.94678,0.5496,1.2463,0.63375,0.00296,2.75e-05,2.75e-05,2.75e-05
5,2432.05,1.31108,0.38349,0.00403,0.92153,0.93654,0.94709,0.54972,1.24355,0.62676,0.00296,1.625e-05,1.625e-05,1.625e-05
6,2879.79,1.29492,0.37693,0.0039,0.92012,0.93815,0.94701,0.55052,1.24095,0.62772,0.00295,8.01443e-06,8.01443e-06,8.01443e-06
