model,surface,modality,category,stage,classifier,size_bucket,frames,tp,fp,fn,precision,recall,f1,fppi,fp_frame_rate,source
rgb_hardneg_v3more,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,95,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_hardneg_v3more,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,65,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_hardneg_v3more,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,86,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_hardneg_v3more,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,15,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_hardneg_v3more,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,35,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_hardneg_v3more,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,20,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_hardneg_v3more,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,11,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_hardneg_v3more,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,18,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_hardneg_v3more,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,6,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,33,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,32,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,0,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,2,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,31,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,218,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,199,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,0,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,2,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,216,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,46,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,42,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,0,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,0,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
retrained_v2,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,46,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,171,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,144,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,14,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,22,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,135,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,1278,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,1093,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,90,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,169,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,1019,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,262,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,231,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,16,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,40,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_1280,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,206,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,72,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,61,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,3,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,14,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,55,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,619,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,485,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,30,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,116,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,473,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,123,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,97,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,5,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,19,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_640,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,99,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,125,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,107,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,9,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,15,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,101,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/test
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,927,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,762,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,61,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,130,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,736,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/train
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,rgb_raw,none,all,,0,184,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,all,,0,161,0,0.0,0.0,0.0,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,small,,0,8,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,medium,,0,30,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
rgb_selcom_960,roboflow_rgb_helicopter,rgb,HELICOPTER,+patch,none,large,,0,146,,,,,,,eval\results\roboflow_ood\summary.csv#rgb_helicopter/valid
baseline,real_video_airplanes_compilation,rgb,AIRPLANES,rgb_raw,none,all,249,0,104,0,0.0,0.0,0.0,0.4177,0.4257,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_airplanes_compilation,rgb,AIRPLANES,rgb_raw,none,all,249,0,99,0,0.0,0.0,0.0,0.3976,0.3815,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_airplanes_compilation,rgb,AIRPLANES,rgb_raw,none,all,249,0,129,0,0.0,0.0,0.0,0.5181,0.506,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_airplanes_compilation,rgb,AIRPLANES,rgb_raw,none,all,249,0,89,0,0.0,0.0,0.0,0.3574,0.3815,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_airplanes_compilation,rgb,AIRPLANES,rgb_raw,none,all,249,0,63,0,0.0,0.0,0.0,0.253,0.3092,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_airplanes_compilation,rgb,AIRPLANES,rgb_raw,none,all,249,0,44,0,0.0,0.0,0.0,0.1767,0.2731,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_distant_airplane_over_head_flying_away,rgb,AIRPLANES,rgb_raw,none,all,55,0,33,0,0.0,0.0,0.0,0.6,0.6909,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_distant_airplane_over_head_flying_away,rgb,AIRPLANES,rgb_raw,none,all,55,0,18,0,0.0,0.0,0.0,0.3273,0.6182,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_distant_airplane_over_head_flying_away,rgb,AIRPLANES,rgb_raw,none,all,55,0,21,0,0.0,0.0,0.0,0.3818,0.7091,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_distant_airplane_over_head_flying_away,rgb,AIRPLANES,rgb_raw,none,all,55,0,20,0,0.0,0.0,0.0,0.3636,0.7636,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_distant_airplane_over_head_flying_away,rgb,AIRPLANES,rgb_raw,none,all,55,0,23,0,0.0,0.0,0.0,0.4182,0.6909,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_distant_airplane_over_head_flying_away,rgb,AIRPLANES,rgb_raw,none,all,55,0,4,0,0.0,0.0,0.0,0.0727,0.2545,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_birds_flying_overhead_various_sizes_short,rgb,BIRDS,rgb_raw,none,all,20,0,39,0,0.0,0.0,0.0,1.95,1.0,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_birds_flying_overhead_various_sizes_short,rgb,BIRDS,rgb_raw,none,all,20,0,0,0,0.0,0.0,0.0,0.0,0.2,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_birds_flying_overhead_various_sizes_short,rgb,BIRDS,rgb_raw,none,all,20,0,61,0,0.0,0.0,0.0,3.05,1.0,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_birds_flying_overhead_various_sizes_short,rgb,BIRDS,rgb_raw,none,all,20,0,18,0,0.0,0.0,0.0,0.9,0.85,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_birds_flying_overhead_various_sizes_short,rgb,BIRDS,rgb_raw,none,all,20,0,2,0,0.0,0.0,0.0,0.1,0.2,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_birds_flying_overhead_various_sizes_short,rgb,BIRDS,rgb_raw,none,all,20,0,6,0,0.0,0.0,0.0,0.3,0.65,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_birds_in_slow_motion_flying_various_sizes_compilation,rgb,BIRDS,rgb_raw,none,all,271,0,291,0,0.0,0.0,0.0,1.0738,0.797,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_birds_in_slow_motion_flying_various_sizes_compilation,rgb,BIRDS,rgb_raw,none,all,271,0,47,0,0.0,0.0,0.0,0.1734,0.2768,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_birds_in_slow_motion_flying_various_sizes_compilation,rgb,BIRDS,rgb_raw,none,all,271,0,441,0,0.0,0.0,0.0,1.6273,0.9483,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_birds_in_slow_motion_flying_various_sizes_compilation,rgb,BIRDS,rgb_raw,none,all,271,0,90,0,0.0,0.0,0.0,0.3321,0.6236,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_birds_in_slow_motion_flying_various_sizes_compilation,rgb,BIRDS,rgb_raw,none,all,271,0,24,0,0.0,0.0,0.0,0.0886,0.2214,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_birds_in_slow_motion_flying_various_sizes_compilation,rgb,BIRDS,rgb_raw,none,all,271,0,62,0,0.0,0.0,0.0,0.2288,0.5498,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_distant_birds_flying_in_the_sky_short,rgb,BIRDS,rgb_raw,none,all,20,0,2,0,0.0,0.0,0.0,0.1,0.25,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_distant_birds_flying_in_the_sky_short,rgb,BIRDS,rgb_raw,none,all,20,0,1,0,0.0,0.0,0.0,0.05,0.15,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_distant_birds_flying_in_the_sky_short,rgb,BIRDS,rgb_raw,none,all,20,0,27,0,0.0,0.0,0.0,1.35,0.95,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_distant_birds_flying_in_the_sky_short,rgb,BIRDS,rgb_raw,none,all,20,0,0,0,0.0,0.0,0.0,0.0,0.15,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_distant_birds_flying_in_the_sky_short,rgb,BIRDS,rgb_raw,none,all,20,0,22,0,0.0,0.0,0.0,1.1,0.9,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_distant_birds_flying_in_the_sky_short,rgb,BIRDS,rgb_raw,none,all,20,0,17,0,0.0,0.0,0.0,0.85,1.0,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_flock_of_birds_flying_short,rgb,BIRDS,rgb_raw,none,all,21,0,0,0,0.0,0.0,0.0,0.0,0.0,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_flock_of_birds_flying_short,rgb,BIRDS,rgb_raw,none,all,21,0,0,0,0.0,0.0,0.0,0.0,0.0476,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_flock_of_birds_flying_short,rgb,BIRDS,rgb_raw,none,all,21,0,6,0,0.0,0.0,0.0,0.2857,0.5238,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_flock_of_birds_flying_short,rgb,BIRDS,rgb_raw,none,all,21,0,1,0,0.0,0.0,0.0,0.0476,0.1905,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_flock_of_birds_flying_short,rgb,BIRDS,rgb_raw,none,all,21,0,2,0,0.0,0.0,0.0,0.0952,0.2857,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_flock_of_birds_flying_short,rgb,BIRDS,rgb_raw,none,all,21,0,1,0,0.0,0.0,0.0,0.0476,0.2381,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_flock_of_birds_flying_sunset,rgb,BIRDS,rgb_raw,none,all,20,0,6,0,0.0,0.0,0.0,0.3,0.45,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_flock_of_birds_flying_sunset,rgb,BIRDS,rgb_raw,none,all,20,0,1,0,0.0,0.0,0.0,0.05,0.2,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_flock_of_birds_flying_sunset,rgb,BIRDS,rgb_raw,none,all,20,0,3,0,0.0,0.0,0.0,0.15,0.9,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_flock_of_birds_flying_sunset,rgb,BIRDS,rgb_raw,none,all,20,0,1,0,0.0,0.0,0.0,0.05,0.1,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_flock_of_birds_flying_sunset,rgb,BIRDS,rgb_raw,none,all,20,0,0,0,0.0,0.0,0.0,0.0,0.15,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_flock_of_birds_flying_sunset,rgb,BIRDS,rgb_raw,none,all,20,0,6,0,0.0,0.0,0.0,0.3,0.75,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_drone_and_bird_sky_and_trees_short,rgb,DRONE,rgb_raw,none,all,114,64,39,51,0.6214,0.5565,0.5872,,0.0,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_drone_and_bird_sky_and_trees_short,rgb,DRONE,rgb_raw,none,all,114,27,7,88,0.7941,0.2348,0.3624,,0.0,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_drone_and_bird_sky_and_trees_short,rgb,DRONE,rgb_raw,none,all,114,73,66,42,0.5252,0.6348,0.5748,,0.0,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_drone_and_bird_sky_and_trees_short,rgb,DRONE,rgb_raw,none,all,114,58,28,57,0.6744,0.5043,0.5771,,0.0,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_drone_and_bird_sky_and_trees_short,rgb,DRONE,rgb_raw,none,all,114,77,44,38,0.6364,0.6696,0.6525,,0.0,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_drone_and_bird_sky_and_trees_short,rgb,DRONE,rgb_raw,none,all,114,58,26,57,0.6905,0.5043,0.5829,,0.0,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_drone_attacked_by_bird_mountain_side_view,rgb,DRONE,rgb_raw,none,all,108,59,50,29,0.5413,0.6705,0.599,,0.15,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_drone_attacked_by_bird_mountain_side_view,rgb,DRONE,rgb_raw,none,all,108,7,4,81,0.6364,0.0795,0.1414,,0.05,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_drone_attacked_by_bird_mountain_side_view,rgb,DRONE,rgb_raw,none,all,108,71,26,17,0.732,0.8068,0.7676,,0.25,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_drone_attacked_by_bird_mountain_side_view,rgb,DRONE,rgb_raw,none,all,108,41,21,47,0.6613,0.4659,0.5467,,0.1,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_drone_attacked_by_bird_mountain_side_view,rgb,DRONE,rgb_raw,none,all,108,45,16,43,0.7377,0.5114,0.604,,0.1,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_drone_attacked_by_bird_mountain_side_view,rgb,DRONE,rgb_raw,none,all,108,50,41,38,0.5495,0.5682,0.5587,,0.3,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_drone_over_mountain_attacked_by_birds,rgb,DRONE,rgb_raw,none,all,68,25,4,43,0.8621,0.3676,0.5155,,0.0,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_drone_over_mountain_attacked_by_birds,rgb,DRONE,rgb_raw,none,all,68,23,1,45,0.9583,0.3382,0.5,,0.0,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_drone_over_mountain_attacked_by_birds,rgb,DRONE,rgb_raw,none,all,68,13,2,55,0.8667,0.1912,0.3133,,0.0,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_drone_over_mountain_attacked_by_birds,rgb,DRONE,rgb_raw,none,all,68,12,0,56,1.0,0.1765,0.3,,0.0,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_drone_over_mountain_attacked_by_birds,rgb,DRONE,rgb_raw,none,all,68,20,5,48,0.8,0.2941,0.4301,,0.0,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_drone_over_mountain_attacked_by_birds,rgb,DRONE,rgb_raw,none,all,68,4,6,64,0.4,0.0588,0.1026,,0.0,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_drone_seagull_attack,rgb,DRONE,rgb_raw,none,all,235,143,30,51,0.8266,0.7371,0.7793,,0.4878,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_drone_seagull_attack,rgb,DRONE,rgb_raw,none,all,235,85,12,109,0.8763,0.4381,0.5842,,0.2683,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_drone_seagull_attack,rgb,DRONE,rgb_raw,none,all,235,182,67,12,0.7309,0.9381,0.8217,,0.7317,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_drone_seagull_attack,rgb,DRONE,rgb_raw,none,all,235,150,40,44,0.7895,0.7732,0.7812,,0.5854,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_drone_seagull_attack,rgb,DRONE,rgb_raw,none,all,235,128,68,66,0.6531,0.6598,0.6564,,0.6098,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_drone_seagull_attack,rgb,DRONE,rgb_raw,none,all,235,9,2,185,0.8182,0.0464,0.0878,,0.1463,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_drone_takeoff_from_ground_and_not_hand_short,rgb,DRONE,rgb_raw,none,all,163,146,7,8,0.9542,0.9481,0.9511,,0.8889,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_drone_takeoff_from_ground_and_not_hand_short,rgb,DRONE,rgb_raw,none,all,163,114,6,40,0.95,0.7403,0.8321,,0.6667,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_drone_takeoff_from_ground_and_not_hand_short,rgb,DRONE,rgb_raw,none,all,163,137,19,17,0.8782,0.8896,0.8839,,0.8889,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_drone_takeoff_from_ground_and_not_hand_short,rgb,DRONE,rgb_raw,none,all,163,140,4,14,0.9722,0.9091,0.9396,,0.5556,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_drone_takeoff_from_ground_and_not_hand_short,rgb,DRONE,rgb_raw,none,all,163,83,12,71,0.8737,0.539,0.6667,,0.7778,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_drone_takeoff_from_ground_and_not_hand_short,rgb,DRONE,rgb_raw,none,all,163,20,0,134,1.0,0.1299,0.2299,,0.0,eval\results\video_tests\video_tests_comparison.csv
baseline,real_video_drone_takeoff_short,rgb,DRONE,rgb_raw,none,all,116,97,1,19,0.9898,0.8362,0.9065,,0.0,eval\results\video_tests\video_tests_comparison.csv
retrained_v2,real_video_drone_takeoff_short,rgb,DRONE,rgb_raw,none,all,116,76,0,40,1.0,0.6552,0.7917,,0.0,eval\results\video_tests\video_tests_comparison.csv
selcom_1280,real_video_drone_takeoff_short,rgb,DRONE,rgb_raw,none,all,116,101,4,15,0.9619,0.8707,0.914,,0.0,eval\results\video_tests\video_tests_comparison.csv
selcom_640,real_video_drone_takeoff_short,rgb,DRONE,rgb_raw,none,all,116,86,1,30,0.9885,0.7414,0.8473,,0.0,eval\results\video_tests\video_tests_comparison.csv
ir_grayscale,real_video_drone_takeoff_short,rgb,DRONE,rgb_raw,none,all,116,47,11,69,0.8103,0.4052,0.5402,,0.0,eval\results\video_tests\video_tests_comparison.csv
ir_on_rgb,real_video_drone_takeoff_short,rgb,DRONE,rgb_raw,none,all,116,8,0,108,1.0,0.069,0.129,,0.0,eval\results\video_tests\video_tests_comparison.csv
