classifier,dataset,mode,stage,n,TP,FP,FN,P,R,F1
lean19,svanstrom,argmax,S2_+classifier_seg,1000,139,0,1,1.0,0.9928571428571429,0.996415770609319
lean19,svanstrom,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
lean19,svanstrom,softveto,S2_+classifier,1000,415,27,415,0.9389140271493213,0.5,0.6525157232704403
lean19,svanstrom,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
lean19,svanstrom,softveto,S2_+classifier_seg,1000,139,3,1,0.9788732394366197,0.9928571428571429,0.9858156028368794
lean19,svanstrom,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
A,svanstrom,any,S0_rgb_raw,1000,391,530,29,0.4245385450597177,0.930952380952381,0.5831469052945564
A,svanstrom,any,S0_ir_base,1000,396,25,14,0.9406175771971497,0.9658536585365853,0.9530685920577617
A,svanstrom,any,S1_+temporal_rgb,1000,136,156,4,0.4657534246575342,0.9714285714285714,0.6296296296296297
A,svanstrom,argmax,S2_+classifier (production),1000,773,25,57,0.968671679197995,0.9313253012048193,0.9496314496314496
A,svanstrom,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
A,svanstrom,argmax,S2_+classifier_seg,1000,139,0,1,1.0,0.9928571428571429,0.996415770609319
A,svanstrom,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
A,svanstrom,softveto,S2_+classifier,1000,417,34,413,0.9246119733924612,0.5024096385542168,0.6510538641686182
A,svanstrom,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
A,svanstrom,softveto,S2_+classifier_seg,1000,139,4,1,0.972027972027972,0.9928571428571429,0.9823321554770317
A,svanstrom,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
B,svanstrom,any,S0_rgb_raw,1000,391,530,29,0.4245385450597177,0.930952380952381,0.5831469052945564
B,svanstrom,any,S0_ir_base,1000,396,25,14,0.9406175771971497,0.9658536585365853,0.9530685920577617
B,svanstrom,any,S1_+temporal_rgb,1000,136,156,4,0.4657534246575342,0.9714285714285714,0.6296296296296297
B,svanstrom,argmax,S2_+classifier (production),1000,411,7,419,0.9832535885167464,0.4951807228915663,0.6586538461538461
B,svanstrom,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
B,svanstrom,argmax,S2_+classifier_seg,1000,139,0,1,1.0,0.9928571428571429,0.996415770609319
B,svanstrom,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
B,svanstrom,softveto,S2_+classifier,1000,417,27,413,0.9391891891891891,0.5024096385542168,0.6546310832025117
B,svanstrom,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
B,svanstrom,softveto,S2_+classifier_seg,1000,139,3,1,0.9788732394366197,0.9928571428571429,0.9858156028368794
B,svanstrom,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
C,svanstrom,any,S0_rgb_raw,1000,391,530,29,0.4245385450597177,0.930952380952381,0.5831469052945564
C,svanstrom,any,S0_ir_base,1000,396,25,14,0.9406175771971497,0.9658536585365853,0.9530685920577617
C,svanstrom,any,S1_+temporal_rgb,1000,136,156,4,0.4657534246575342,0.9714285714285714,0.6296296296296297
C,svanstrom,argmax,S2_+classifier (production),1000,780,26,50,0.967741935483871,0.9397590361445783,0.9535452322738386
C,svanstrom,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
C,svanstrom,argmax,S2_+classifier_seg,1000,139,0,1,1.0,0.9928571428571429,0.996415770609319
C,svanstrom,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
C,svanstrom,softveto,S2_+classifier,1000,414,29,416,0.9345372460496614,0.4987951807228916,0.6504320502749411
C,svanstrom,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
C,svanstrom,softveto,S2_+classifier_seg,1000,139,3,1,0.9788732394366197,0.9928571428571429,0.9858156028368794
C,svanstrom,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
ABC,svanstrom,any,S0_rgb_raw,1000,391,530,29,0.4245385450597177,0.930952380952381,0.5831469052945564
ABC,svanstrom,any,S0_ir_base,1000,396,25,14,0.9406175771971497,0.9658536585365853,0.9530685920577617
ABC,svanstrom,any,S1_+temporal_rgb,1000,136,156,4,0.4657534246575342,0.9714285714285714,0.6296296296296297
ABC,svanstrom,argmax,S2_+classifier (production),1000,416,6,414,0.985781990521327,0.5012048192771085,0.6645367412140576
ABC,svanstrom,argmax,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
ABC,svanstrom,argmax,S2_+classifier_seg,1000,139,0,1,1.0,0.9928571428571429,0.996415770609319
ABC,svanstrom,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
ABC,svanstrom,softveto,S2_+classifier,1000,414,30,416,0.9324324324324325,0.4987951807228916,0.6499215070643642
ABC,svanstrom,softveto,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
ABC,svanstrom,softveto,S2_+classifier_seg,1000,139,3,1,0.9788732394366197,0.9928571428571429,0.9858156028368794
ABC,svanstrom,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
lean19,rgb_test,any,S0_rgb_raw,1000,789,39,61,0.9528985507246377,0.928235294117647,0.9404052443384983
lean19,rgb_test,any,S0_ir_base,1000,27,22,823,0.5510204081632653,0.03176470588235294,0.060066740823136816
lean19,rgb_test,any,S1_+temporal_rgb,1000,256,0,19,1.0,0.9309090909090909,0.9642184557438794
lean19,rgb_test,argmax,S2_+classifier,1000,237,35,613,0.8713235294117647,0.2788235294117647,0.4224598930481283
lean19,rgb_test,argmax,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
lean19,rgb_test,argmax,S2_+classifier_seg,1000,64,0,211,1.0,0.23272727272727273,0.3775811209439528
lean19,rgb_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
lean19,rgb_test,softveto,S2_+classifier (production),1000,451,17,399,0.9636752136752137,0.5305882352941177,0.6843702579666161
lean19,rgb_test,softveto,S3_+alert_gate (production),1000,0,0,0,0.0,0.0,0.0
lean19,rgb_test,softveto,S2_+classifier_seg,1000,140,0,135,1.0,0.509090909090909,0.6746987951807228
lean19,rgb_test,softveto,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
A,rgb_test,any,S0_rgb_raw,1000,789,39,61,0.9528985507246377,0.928235294117647,0.9404052443384983
A,rgb_test,any,S0_ir_base,1000,27,22,823,0.5510204081632653,0.03176470588235294,0.060066740823136816
A,rgb_test,any,S1_+temporal_rgb,1000,256,0,19,1.0,0.9309090909090909,0.9642184557438794
A,rgb_test,argmax,S2_+classifier,1000,285,39,565,0.8796296296296297,0.3352941176470588,0.4855195911413969
A,rgb_test,argmax,S3_+alert_gate,1000,0,0,0,0.0,0.0,0.0
A,rgb_test,argmax,S2_+classifier_seg,1000,81,0,194,1.0,0.29454545454545455,0.45505617977528096
A,rgb_test,argmax,S3_+alert_gate_seg,1000,0,0,0,0.0,0.0,0.0
