epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1979.79,1.63632,0.62583,0.00391,0.94497,0.87899,0.91875,0.57714,1.0655,0.4625,0.00279,3.33287e-05,3.33287e-05,0.0667046
2,3893.07,1.45689,0.52484,0.00335,0.96727,0.89401,0.9265,0.58132,1.05826,0.40098,0.00265,5.01632e-05,5.01632e-05,0.0333881
3,5760.58,1.31376,0.47046,0.00295,0.97967,0.89105,0.93349,0.60934,0.99791,0.37513,0.00256,2.57488e-05,2.57488e-05,3.03452e-05
